"Ranking","Rating","Team"
1,16.4474654610408," Wheaton_IL"
2,14.4111752905201," Mt_Union"
3,8.78843900082529," N_Central_IL"
4,5.54789135968028," Bridgewater_VA"
5,4.94100851745236," Muhlenberg"
6,4.82886209864905," M_Hardin-Baylor"
7,4.1372723475137," Hardin-Simmons"
8,3.99734120513701," Ithaca"
9,3.9848813221067," Redlands"
10,3.72431313853254," Delaware_Val"
11,3.6471782176572," St_John's_MN"
12,3.4609498742693," Linfield"
13,3.19385338774371," Salisbury"
14,3.13544447599446," WI_Whitewater"
15,2.98011402586754," IL_Wesleyan"
16,2.95273744366383," Union_NY"
17,2.92993236897039," Susquehanna"
18,2.74052275364416," Cortland_St"
19,2.65795728578563," TX_Lutheran"
20,2.6161705474327," WI_LaCrosse"
21,2.61117499598197," WI_Platteville"
22,2.61109038331604," Stevenson"
23,2.54243070642954," Chapman"
24,2.46670407088075," Bethel_MN"
25,2.45311572071111," John_Carroll"
26,2.40332492143716," Berry"
27,2.39196483898388," Brockport_St"
28,2.39116398473997," Heidelberg"
29,2.30053736741802," Johns_Hopkins"
30,2.27229362138559," St_Thomas_MN"
31,2.15823870117874," WI_Oshkosh"
32,2.09423410266269," Trinity_TX"
33,2.077498919022," Wesley_DE"
34,2.01766261474337," Hobart_&_Smith"
35,1.99728909883657," Gust_Adolphus"
36,1.95711614006312," Williams"
37,1.81130144700398," Birmingham_So"
38,1.79582575403447," Randolph-Macon"
39,1.67294323583362," WI_Stout"
40,1.66988465910903," St_John_Fisher"
41,1.65862613975033," Hendrix"
42,1.60527494928703," Averett"
43,1.60435722246146," Washington_StL"
44,1.59015144670822," Middlebury"
45,1.57926080061144," Washington_&_Lee"
46,1.54422007688924," Montclair_St"
47,1.53246072043622," Endicott"
48,1.52971713075408," Wartburg"
49,1.4870849012896," Trinity_CT"
50,1.42789465403069," Dickinson"
51,1.4239582660775," Alfred"
52,1.38941978793659," Emory_&_Henry"
53,1.3831819752938," Case_Western"
54,1.37854607486385," Concordia_Mhd"
55,1.35460626564736," Baldwin-Wallace"
56,1.33094574620767," Denison"
57,1.28924355253262," Shenandoah"
58,1.24631560833525," Wesleyan_CT"
59,1.21975098352621," George_Fox"
60,1.21515747894406," Worcester_Tech"
61,1.21157333393223," Augustana_IL"
62,1.20421114857061," Pomona_Pitzer"
63,1.19913593161848," Rowan"
64,1.16607141250691," Westminster_PA"
65,1.15589666905416," Morrisville_St"
66,1.15442348091753," E_Texas_Bap"
67,1.13792699963761," Whitworth"
68,1.11216459818639," W_New_England"
69,1.10024102546819," Centre"
70,1.05095187379254," Wash_&_Jeff"
71,1.04832792033681," Wabash"
72,1.04068373671513," Utica"
73,1.03787550305927," WI_Stevens_Pt"
74,0.999311961841861," Huntingdon"
75,0.983997599957997," WI_Eau_Claire"
76,0.971828241606946," Amherst"
77,0.945353675939426," Carnegie_Mellon"
78,0.93384383173792," Millsaps"
79,0.900858134889174," Rensselaer"
80,0.887188803540266," Hamilton"
81,0.865898578869077," WI_River_Falls"
82,0.861591725099403," NC_Wesleyan"
83,0.858165447399687," Ursinus"
84,0.849561478270894," Springfield"
85,0.840815283081507," College_of_NJ"
86,0.838304715938402," Cal_Lutheran"
87,0.829829216916386," Hanover"
88,0.813546687606365," Framingham_St"
89,0.802447330457974," Salve_Regina"
90,0.798502627242653," Frank_&_Marsh"
91,0.778245323090899," Marietta"
92,0.777261677669895," Tufts"
93,0.750899495414946," Belhaven_MS"
94,0.724427990425915," King's_PA"
95,0.713130020500453," Carthage"
96,0.7128922681786," Widener"
97,0.708089333098338," Brevard"
98,0.687625096197619," Wooster"
99,0.687600796285161," Ohio_Wesleyan"
100,0.671902414279191," Austin_Col"
101,0.644875409067581," Lycoming"
102,0.63554062189539," Hope"
103,0.634642652327836," Maryville_TN"
104,0.624071629989807," SW_Univ_TX"
105,0.609770478847716," Wittenberg"
106,0.608043754238786," Grove_City"
107,0.604854469278384," Bridgewater_MA"
108,0.591653270952167," St_Lawrence"
109,0.578156102884915," Dubuque"
110,0.572081924353944," S_Virginia"
111,0.566355545427816," Otterbein"
112,0.556881755873941," LaGrange"
113,0.551497911021144," Monmouth_IL"
114,0.550564874274202," Buffalo_St"
115,0.547391592350858," Chris_Newport"
116,0.546351333601988," Norwich"
117,0.545388548715167," Aurora"
118,0.530318085767102," Coe"
119,0.525846857371885," Central_IA"
120,0.496625346028346," Howard_Payne"
121,0.496015287149719," Pacific_OR"
122,0.491386406928685," MIT"
123,0.487332331853829," Nichols"
124,0.486188890209534," Simpson_IA"
125,0.484351399593591," Coast_Guard"
126,0.482450742152303," Puget_Sound"
127,0.475855950021044," Colby"
128,0.473822702296535," Ferrum"
129,0.471627050622504," St_Norbert"
130,0.470017494600692," Kean"
131,0.46024087561608," Moravian"
132,0.450567296393693," Geneva"
133,0.434010736306758," MA_Dartmouth"
134,0.418521637290474," Muskingum"
135,0.416622911428622," W_Connecticut"
136,0.412112452023365," Millikin"
137,0.410143998452433," Ohio_Northern"
138,0.394834113129147," Wilkes"
139,0.39141319229428," Hampden-Sydney"
140,0.387887065408305," Husson"
141,0.37601191738748," Alma"
142,0.369630256544255," Bethany_WV"
143,0.369126778587899," Guilford"
144,0.368397713958945," Lakeland"
145,0.364752025057166," Misericordia"
146,0.358248716443429," Albion"
147,0.346119324400185," Merchant_Marine"
148,0.346082646368032," Lebanon_Val"
149,0.335912531025598," U_New_England"
150,0.332121640603958," Mt_St_Joseph"
151,0.321601010273918," Bates"
152,0.321487504417794," Wm_Paterson"
