"Ranking","Rating","Team"
1,17.3927754973879,"Ohio_St"
2,12.5837375540912,"Alabama"
3,10.2037439250998,"Wisconsin"
4,7.52818716056864,"LSU"
5,6.54929613876198,"Oklahoma"
6,5.53738949009355,"Clemson"
7,5.28782347274954,"Oregon"
8,5.10329083385549,"Auburn"
9,4.88497310912389,"Florida"
10,4.25614650702999,"Penn_St"
11,4.1952269808901,"Texas"
12,3.97325889256919,"Missouri"
13,3.86702401860125,"Georgia"
14,3.62426959443039,"Washington"
15,3.42803687433051,"Notre_Dame"
16,3.38353607136322,"Texas_A&M"
17,3.36725802806607,"UCF"
18,3.20911760206977,"Michigan_St"
19,3.17414680564673,"Utah"
20,3.08030074321819,"Iowa_St"
21,2.84228297964075,"South_Carolina"
22,2.79040684074266,"Iowa"
23,2.63465658153689,"USC"
24,2.62712104858824,"Michigan"
25,2.56540293695484,"North_Carolina"
26,2.40213543367095,"Baylor"
27,2.35001285818936,"Mississippi"
29,2.26909510195027,"California"
30,2.21862076714354,"Oklahoma_St"
31,2.19790153427318,"Tulane"
32,2.18700905149656,"Memphis"
33,2.08230157492001,"Boise_St"
34,2.01425566948725,"Stanford"
35,1.92373890771355,"Miami_FL"
36,1.8994799028469,"FL_Atlantic"
37,1.89680646372456,"Arizona_St"
38,1.84264435413926,"Navy"
39,1.82968431051606,"Northwestern"
40,1.82313450888576,"Wake_Forest"
41,1.80092149489666,"Wyoming"
42,1.73972200694543,"Virginia"
43,1.7342126122378,"Cincinnati"
44,1.72901055356877,"SMU"
45,1.71139050101555,"Pittsburgh"
46,1.59218997628443,"Appalachian_St"
47,1.53892640546497,"Air_Force"
48,1.49863649435047,"Houston"
49,1.46103220057913,"Kentucky"
50,1.42872789632607,"TCU"
51,1.36372627774411,"Minnesota"
52,1.36100129793227,"Louisville"
53,1.31280165069439,"Washington_St"
54,1.30431832964005,"Florida_St"
55,1.23408535646495,"Arkansas"
56,1.2237668035664,"West_Virginia"
58,1.17213731564268,"San_Diego_St"
59,1.17120788685001,"Texas_Tech"
60,1.14905699797868,"Army"
61,1.11090027101691,"Duke"
62,1.0955554664327,"Mississippi_St"
63,1.08204890086675,"Kansas_St"
64,1.06197228178585,"BYU"
65,1.04916041253249,"Louisiana"
66,1.04112692572795,"Tulsa"
67,1.02709387813596,"Arizona"
68,1.01081159124852,"Temple"
69,0.950208540426364,"Utah_St"
70,0.919285726077453,"Fresno_St"
71,0.913077391616417,"W_Michigan"
72,0.905867784887557,"Purdue"
73,0.904738540861076,"Oregon_St"
74,0.904664202410907,"Nebraska"
76,0.890116396246626,"Hawaii"
77,0.88459321758,"Boston_College"
78,0.872819875739888,"Indiana"
79,0.86897659892505,"Colorado"
80,0.856251351257225,"Kansas"
82,0.829442864978807,"UCLA"
84,0.818333440697958,"Tennessee"
86,0.795671444281475,"WKU"
87,0.791527458891611,"Virginia_Tech"
88,0.771433574236377,"NC_State"
89,0.747790909414772,"Toledo"
90,0.728374836922493,"North_Texas"
91,0.725826608153722,"Vanderbilt"
92,0.707463079323766,"Louisiana_Tech"
93,0.704483520475374,"Ball_St"
94,0.687836283461574,"Rice"
96,0.669320727831276,"C_Michigan"
98,0.634497648773264,"Marshall"
99,0.625774635107962,"Illinois"
100,0.625359698409016,"UAB"
101,0.618723776356504,"Ohio"
102,0.612983548018049,"Coastal_Car"
103,0.607862879005713,"San_Jose_St"
104,0.606177205850558,"Maryland"
105,0.591690921325489,"ULM"
106,0.586970966160086,"Syracuse"
107,0.58057456785612,"Georgia_St"
108,0.573433144777302,"Florida_Intl"
109,0.572599178919447,"N_Illinois"
110,0.567925544276872,"UNLV"
111,0.564410945555826,"Colorado_St"
112,0.54882568534058,"Arkansas_St"
113,0.542707883164068,"Buffalo"
114,0.536528261953066,"Texas_St"
116,0.528659752685722,"MTSU"
118,0.486467451968669,"Georgia_Tech"
120,0.459393758181659,"E_Michigan"
121,0.441863665006892,"Southern_Miss"
122,0.440416022677323,"South_Florida"
126,0.425857727035398,"Miami_OH"
127,0.422156360727782,"Old_Dominion"
129,0.391991655667674,"Liberty"
130,0.372423813623314,"Charlotte"
133,0.356690938277343,"East_Carolina"
135,0.351994281302069,"Troy"
137,0.349791305732144,"Nevada"
138,0.331020771363266,"Ga_Southern"
152,0.252614773097332,"New_Mexico_St"
157,0.238949462430293,"Kent"
158,0.23237393948471,"South_Alabama"
164,0.218737442948887,"New_Mexico"
176,0.177812941437662,"UT_San_Antonio"
178,0.171838241464006,"Rutgers"
181,0.161303361729781,"Connecticut"
182,0.158318512504231,"Bowling_Green"
199,0.117460234311139,"UTEP"
201,0.111005759940118,"Akron"
239,0.0439653476598063,"Massachusetts"
