"Ranking","Rating","Team"
1,10.7897550303585," Mt_Union"
2,10.7366702360022," Wheaton_IL"
3,6.43334032822689," Bridgewater_VA"
4,6.01381850446515," N_Central_IL"
5,5.94766346007537," Ithaca"
6,5.90008470722042," Muhlenberg"
7,5.28743274213357," Redlands"
8,4.55843429061732," Cortland_St"
9,4.41255351522149," M_Hardin-Baylor"
10,4.31953319474265," St_John's_MN"
11,3.86269410792047," Linfield"
12,3.80184099629883," Delaware_Val"
13,3.62284203866551," Chapman"
14,3.20523195201877," IL_Wesleyan"
15,3.06686186557266," Susquehanna"
16,3.00074509112119," Hardin-Simmons"
17,2.99833620777533," Stevenson"
18,2.91000662493458," Randolph-Macon"
19,2.75012573103333," WI_Whitewater"
20,2.73543667646823," Johns_Hopkins"
21,2.64059066453434," Salisbury"
22,2.61642946917397," Averett"
23,2.49054877413262," Alfred"
24,2.3538871560691," Whitworth"
25,2.32124146419332," WI_Oshkosh"
26,2.23799719747358," Union_NY"
27,2.22997755434566," TX_Lutheran"
28,2.21715627352723," St_John_Fisher"
29,2.19073577687025," Hobart_&_Smith"
30,2.18788024912768," WI_Platteville"
31,2.16350545275664," Wesley_DE"
32,2.12062635460782," Gust_Adolphus"
33,2.11101493110605," Berry"
34,2.1014451227879," Emory_&_Henry"
35,2.08475606947508," John_Carroll"
36,2.08372282389397," Williams"
37,2.01462400853085," St_Thomas_MN"
38,1.98630336644426," Augustana_IL"
39,1.97074889153646," Bethel_MN"
40,1.93936715315791," George_Fox"
41,1.92533453684758," Case_Western"
42,1.91522833764842," WI_LaCrosse"
43,1.91152447584093," Wartburg"
44,1.839791232331," Endicott"
45,1.76377814358867," WI_Stout"
46,1.73932724246691," Morrisville_St"
47,1.73697563517328," Middlebury"
48,1.73424544048035," Brockport_St"
49,1.7330432267092," Shenandoah"
50,1.71464414467686," Dickinson"
51,1.64046444856004," Washington_&_Lee"
52,1.58845938957104," Trinity_CT"
53,1.53349082402428," Westminster_PA"
54,1.52765272450117," Trinity_TX"
55,1.47400346652492," Pomona_Pitzer"
56,1.44791854015364," Wash_&_Jeff"
57,1.40623385439234," Rowan"
58,1.3787803626275," Birmingham_So"
59,1.35337044860364," Worcester_Tech"
60,1.34906816414085," Montclair_St"
61,1.34574456111145," Ursinus"
62,1.31048469375517," WI_Eau_Claire"
63,1.26607415642157," Rensselaer"
64,1.25818654796221," NC_Wesleyan"
65,1.23882003470508," Utica"
66,1.16993574951509," Carnegie_Mellon"
67,1.16105124936122," Hendrix"
68,1.12287229646502," Concordia_Mhd"
69,1.09785292055011," Denison"
70,1.09565596002897," College_of_NJ"
71,1.08452008855833," Widener"
72,1.0708898902114," Frank_&_Marsh"
73,1.02672593247532," Heidelberg"
74,1.01621547958692," Cal_Lutheran"
75,1.00997180833143," Amherst"
76,0.981325454860707," E_Texas_Bap"
77,0.977707594698521," Wesleyan_CT"
78,0.940085451667609," Wabash"
79,0.936410912050939," Springfield"
80,0.930842167457331," Centre"
81,0.916584987554807," Carthage"
82,0.866467967177347," Millsaps"
83,0.841679792420038," King's_PA"
84,0.83650389395118," W_New_England"
85,0.831914215072179," Grove_City"
86,0.776742681723431," Hamilton"
87,0.765470555007898," Belhaven_MS"
88,0.764330991412598," Baldwin-Wallace"
89,0.750917724735786," Tufts"
90,0.735101721840681," WI_Stevens_Pt"
91,0.731025031910017," Bridgewater_MA"
92,0.712654466428412," SW_Univ_TX"
93,0.696202398245697," Salve_Regina"
94,0.681842123448675," Misericordia"
95,0.653277902325965," Framingham_St"
96,0.651433683680765," S_Virginia"
97,0.647506388473326," W_Connecticut"
98,0.63604680856818," Huntingdon"
99,0.627009374543563," WI_River_Falls"
100,0.625787068232473," Aurora"
101,0.622847778600337," Lycoming"
102,0.620605096534587," Hope"
103,0.616639463135843," Dubuque"
104,0.614558151648623," Hampden-Sydney"
105,0.613304739723192," Coast_Guard"
106,0.60591720866285," LaGrange"
