"Ranking","Rating","Team"
1,24.1412556737843,"Ohio_St"
2,13.6353788042961,"Alabama"
3,7.08064905343376,"Oklahoma"
4,6.63224684294856,"LSU"
5,5.24178524421853,"Wisconsin"
6,5.18718833318199,"Georgia"
7,5.03009126444222,"Auburn"
8,4.75824495557714,"Penn_St"
9,4.68477345273769,"Michigan_St"
10,4.48219682797252,"Florida"
11,4.17326134021773,"UCF"
12,4.14395074151958,"Clemson"
13,4.0498410037734,"Notre_Dame"
14,4.0318683751202,"Missouri"
15,4.0033435169791,"Oregon"
16,3.8003666904529,"Texas"
17,3.49953947586958,"Washington"
18,2.88747216073944,"Oklahoma_St"
19,2.80891878837789,"Iowa_St"
20,2.68148603279696,"Baylor"
21,2.59291083453806,"California"
22,2.59275830174405,"North_Carolina"
23,2.51939904492302,"South_Carolina"
24,2.46252704739572,"Mississippi"
25,2.45336763078574,"Memphis"
26,2.43768985826159,"Arizona_St"
27,2.36743768234945,"Texas_A&M"
28,2.30223238753394,"FL_Atlantic"
29,2.24794922592864,"Utah"
30,2.22784572430154,"USC"
31,2.20179790972507,"Pittsburgh"
32,2.19722957815283,"SMU"
33,2.1591110711789,"Stanford"
34,2.10613411569682,"Iowa"
35,2.09627109436426,"Wyoming"
36,2.06917865508983,"Virginia"
37,1.94705368552762,"Tulane"
38,1.85993404030231,"Michigan"
40,1.76660924114627,"Houston"
41,1.74911740749358,"Wake_Forest"
42,1.6709789321618,"TCU"
43,1.63392047104066,"Boise_St"
44,1.57961257512738,"Miami_FL"
45,1.52987201557828,"Northwestern"
46,1.52616708419303,"Appalachian_St"
47,1.47211965031941,"Cincinnati"
48,1.42513396846796,"Tulsa"
49,1.40805338745011,"Florida_St"
50,1.38117397376519,"Colorado"
51,1.37945244604601,"Kentucky"
52,1.370419042693,"Oregon_St"
53,1.34786685816229,"Navy"
54,1.32839214891004,"Kansas_St"
55,1.31748641803188,"Air_Force"
56,1.27891076047019,"West_Virginia"
57,1.23941741357198,"Arizona"
58,1.23281018330227,"Washington_St"
59,1.2024420713802,"Louisville"
61,1.12074771555699,"Hawaii"
62,1.11416596384099,"Mississippi_St"
63,1.09356203772897,"Army"
64,1.0814992870363,"Indiana"
65,1.06651953524291,"Kansas"
66,1.03799349582206,"Arkansas"
67,1.03631121907351,"Utah_St"
68,1.02878032359663,"Minnesota"
69,1.02494140734855,"BYU"
70,1.01048177778758,"UCLA"
71,1.00381908786713,"Texas_Tech"
72,0.998769488571974,"Duke"
73,0.980724369970466,"Fresno_St"
74,0.97930200340441,"Boston_College"
75,0.974597589867059,"Nebraska"
77,0.94042936103419,"Louisiana"
78,0.935090231218551,"San_Diego_St"
79,0.922114864553681,"Toledo"
80,0.890642007466919,"North_Texas"
81,0.869471836998476,"Vanderbilt"
82,0.856162071009459,"W_Michigan"
85,0.814658763040651,"Rice"
86,0.797548624042614,"Purdue"
87,0.792801860418217,"Ball_St"
88,0.78569653868413,"NC_State"
90,0.720195853217782,"Virginia_Tech"
91,0.713606989367665,"Tennessee"
93,0.701306364304714,"Coastal_Car"
95,0.651281549114146,"San_Jose_St"
96,0.624560109875085,"Maryland"
98,0.602394944080737,"Ohio"
99,0.601769967017193,"C_Michigan"
100,0.597420510087826,"ULM"
101,0.595787490882592,"Colorado_St"
102,0.590622333496931,"UAB"
103,0.578154393368911,"Arkansas_St"
105,0.573337748228975,"Texas_St"
106,0.571294428209124,"Louisiana_Tech"
107,0.57032398091272,"WKU"
108,0.544907842845099,"Temple"
110,0.538316878705301,"Buffalo"
112,0.499013213183785,"Syracuse"
113,0.496154848921734,"Marshall"
114,0.489494273979572,"N_Illinois"
115,0.487045948158659,"Charlotte"
117,0.477072721278384,"Georgia_St"
118,0.446410530282398,"Illinois"
119,0.444658365642236,"Old_Dominion"
120,0.418231052192309,"Liberty"
121,0.411920373074088,"E_Michigan"
122,0.397380848522357,"Florida_Intl"
123,0.389160666931856,"Miami_OH"
124,0.382616202242965,"Troy"
125,0.375321759874046,"Georgia_Tech"
128,0.348901886995403,"MTSU"
129,0.344297463047589,"East_Carolina"
131,0.340680826813082,"UNLV"
134,0.333020458159515,"Ga_Southern"
138,0.290782986813942,"South_Florida"
139,0.285455943340451,"Nevada"
142,0.279315926980719,"Southern_Miss"
144,0.277739822075558,"South_Alabama"
151,0.237851270555161,"New_Mexico_St"
154,0.232056674496499,"Kent"
163,0.213301989194528,"New_Mexico"
172,0.185939689642608,"Connecticut"
179,0.164955869213032,"Rutgers"
187,0.138687081048664,"UT_San_Antonio"
195,0.114305765556433,"UTEP"
197,0.110871701796952,"Akron"
228,0.0575152259408171,"Massachusetts"
244,0.0359770752561026,"Bowling_Green"
