"Ranking","Rating","Team"
1,37.2864831214812," Mt_Union"
2,9.62771887088846," M_Hardin-Baylor"
3,6.05445423493492," Hardin-Simmons"
4,4.98221917926252," Brockport_St"
5,4.30872788815727," Springfield"
6,4.03517218508856," Delaware_Val"
7,3.45613150121807," Hobart_&_Smith"
8,3.34161055029654," Trine"
9,3.28709846710918," Ohio_Northern"
10,3.16971450793053," N_Central_IL"
11,2.99875970250209," Wesley_DE"
12,2.80124073544159," Linfield"
13,2.61601979172159," Framingham_St"
14,2.61451931609499," George_Fox"
15,2.55338645313371," Wheaton_IL"
16,2.42209166306554," Wittenberg"
17,2.41594120929707," Frostburg_St"
18,2.41127730788525," St_Thomas_MN"
19,2.37003387964388," WI_Platteville"
20,2.30188191931897," IL_Wesleyan"
21,2.24494294204883," Trinity_CT"
22,2.08373240627085," Johns_Hopkins"
23,2.00426346303634," Wash_&_Jeff"
24,2.00354861210187," Heidelberg"
25,1.96518822344194," Chris_Newport"
26,1.93628712605119," Wartburg"
27,1.89049407292639," Carnegie_Mellon"
28,1.87188235741044," Plymouth_St"
29,1.86349336435308," Alfred"
30,1.82448633545056," WI_LaCrosse"
31,1.82329239697818," Redlands"
32,1.73547478547467," Hartwick"
33,1.72263531664005," WI_Oshkosh"
34,1.69539427755592," W_Connecticut"
35,1.67193127732823," Cortland_St"
36,1.66889059482089," Carthage"
37,1.66571861619642," Middlebury"
38,1.65524678178284," Sul_Ross"
39,1.62743637471384," Ithaca"
40,1.59498650108914," St_John's_MN"
41,1.55902947949388," WI_Whitewater"
42,1.50787767515265," Utica"
43,1.50343204118567," Westminster_PA"
44,1.4707288672659," Wesleyan_CT"
45,1.42596723141887," Husson"
46,1.37337754322302," Salisbury_St"
47,1.36985432070938," Whitworth"
48,1.3508899078," Shenandoah"
49,1.32295728862938," Muhlenberg"
50,1.27893858502836," Thomas_More"
51,1.27617324701796," Amherst"
52,1.26933884740011," Concordia_Mhd"
53,1.25985144620884," Case_Western"
54,1.25786677972416," WI_Stout"
55,1.2501446878462," Berry"
56,1.24243578103231," Susquehanna"
57,1.23621867088847," MIT"
58,1.22222503219472," W_New_England"
59,1.20919022944968," Ursinus"
60,1.2039298707104," Bridgewater_MA"
61,1.18651042822984," Frank_&_Marsh"
