Rank,Team,G,W.L,TDs,PAT,X2PT,Def.Pts,FG,Saf,Pts,PPG
41,Southeastern La. (Southland),11,7-4,42,37,0,0,10,0,319,29
40,UNI (MVFC),11,5-6,39,34,1,0,16,1,320,29.1
39,North Dakota St. (MVFC),14,12-2,52,49,0,0,15,1,408,29.1
37,North Dakota (Big Sky),12,9-3,44,41,0,0,16,1,355,29.6
36,South Dakota (MVFC),11,4-7,41,41,0,0,14,0,329,29.9
34,Nicholls St. (Southland),11,5-6,44,38,2,0,9,0,333,30.3
34,Alcorn (Southwestern),11,5-6,46,38,0,0,5,2,333,30.3
33,SFA (Southland),11,5-6,42,41,1,0,13,0,334,30.4
32,Southern Ill. (MVFC),11,4-7,45,39,2,0,9,0,340,30.9
31,Jacksonville St. (OVC),12,10-2,49,41,0,0,12,0,371,30.9
30,Colgate (Patriot),10,5-5,40,38,0,0,11,0,311,31.1
29,Duquesne (Northeast),11,8-3,44,38,1,0,13,0,343,31.2
28,McNeese (Southland),11,6-5,46,40,0,0,12,0,352,32
27,UT Martin (OVC),12,7-5,51,44,1,0,11,1,387,32.3
26,Tennessee St. (OVC),11,7-4,44,38,1,0,17,0,355,32.3
24,Morehead St. (Pioneer),11,4-7,48,41,3,0,7,0,356,32.4
24,Dayton (Pioneer),11,9-2,45,42,1,0,14,0,356,32.4
23,Jacksonville (Pioneer),10,5-5,43,39,1,0,9,0,326,32.6
21,Northern Ariz. (Big Sky),11,5-6,46,44,1,0,13,0,361,32.8
20,Charleston So. (Big South),11,7-4,49,45,2,0,6,1,363,33
19,Central Ark. (Southland),13,10-3,56,51,0,0,13,2,430,33.1
18,South Dakota St. (MVFC),13,9-4,57,56,0,0,11,0,431,33.2
17,Portland St. (Big Sky),11,3-8,49,48,1,0,7,0,365,33.2
16,Chattanooga (Southern),13,9-4,59,55,0,0,12,0,445,34.2
15,Northern Colo. (Big Sky),11,6-5,51,48,1,0,7,0,377,34.3
14,Princeton (Ivy League),10,8-2,47,44,1,0,6,0,346,34.6
13,Cal Poly (Big Sky),12,7-5,57,54,1,0,6,0,416,34.7
12,Samford (Southern),12,7-5,55,53,1,0,12,0,421,35.1
11,N.C. A&T (Mid-Eastern),12,9-3,57,53,0,0,9,0,422,35.2
10,San Diego (Pioneer),12,10-2,58,53,0,0,9,0,428,35.7
9,Lehigh (Patriot),12,9-3,64,62,1,0,6,0,466,38.8
8,Kennesaw St. (Big South),11,8-3,60,54,1,0,4,0,428,38.9
7,Montana (Big Sky),11,6-5,57,45,1,0,15,0,434,39.5
6,Grambling (Southwestern),12,11-1,66,62,0,0,5,2,477,39.8
5,Southern U. (Southwestern),11,8-3,58,51,0,0,13,0,438,39.8
4,Fordham (Patriot),11,8-3,59,52,1,0,11,0,441,40.1
3,Eastern Wash. (Big Sky),14,12-2,81,75,1,0,10,0,593,42.4
2,James Madison (Colonial),15,14-1,94,90,1,0,14,1,700,46.7
1,Sam Houston St. (Southland),13,12-1,90,87,0,0,5,1,644,49.5
