Rank,Team,G,W.L,TDs,PAT,X2PT,Def.Pts,FG,Saf,Pts,PPG
99,North Texas (Conference USA),13,5-8,42,41,0,0,9,1,322,24.8
100,Arizona (Pac-12),12,3-9,39,36,0,0,9,0,297,24.8
101,Purdue (Big Ten),12,3-9,38,35,0,0,10,1,295,24.6
102,Georgia (Southeastern),13,8-5,38,36,1,0,17,1,319,24.5
103,San Jose St. (Mountain West),12,4-8,35,31,2,0,16,0,293,24.4
104,Michigan St. (Big Ten),12,3-9,35,30,2,0,15,0,289,24.1
104,Tulane (AAC),12,4-8,37,33,2,0,10,0,289,24.1
106,FIU (Conference USA),12,4-8,36,34,1,0,12,0,288,24
107,Florida (Southeastern),13,9-4,35,32,1,1,21,1,311,23.9
108,Utah St. (Mountain West),12,3-9,36,35,0,0,12,0,287,23.9
109,Louisiana (Sun Belt),13,6-7,36,30,1,1,19,0,307,23.6
110,Duke (Atlantic Coast),12,4-8,39,37,0,0,3,0,280,23.3
110,Massachusetts (FBS Independent),12,2-10,37,35,0,1,7,0,280,23.3
110,La.-Monroe (Sun Belt),12,4-8,36,35,0,0,9,1,280,23.3
113,Vanderbilt (Southeastern),13,6-7,36,36,0,0,15,1,299,23
114,Miami (OH) (Mid-American),13,6-7,38,32,0,0,11,2,297,22.8
115,Virginia (Atlantic Coast),12,2-10,37,29,2,0,5,0,270,22.5
116,South Carolina (Southeastern),13,6-7,33,31,1,0,13,0,270,20.8
117,Kent St. (Mid-American),12,3-9,29,28,0,0,15,0,247,20.6
118,Wake Forest (Atlantic Coast),13,7-6,29,28,0,0,21,0,265,20.4
118,Boston College (Atlantic Coast),13,7-6,33,29,1,0,12,0,265,20.4
120,Kansas (Big 12),12,2-10,29,26,1,0,13,1,243,20.3
121,Georgia St. (Sun Belt),12,3-9,31,26,0,0,9,0,239,19.9
122,Illinois (Big Ten),12,3-9,28,26,2,0,12,1,236,19.7
123,Cincinnati (AAC),12,4-8,28,23,1,0,13,0,232,19.3
124,Texas St. (Sun Belt),12,2-10,29,26,1,0,7,0,223,18.6
125,Fresno St. (Mountain West),12,1-11,24,23,0,0,15,0,212,17.7
126,Buffalo (Mid-American),12,2-10,24,21,0,0,11,0,198,16.5
127,Rutgers (Big Ten),12,2-10,23,20,0,0,10,0,188,15.7
128,UConn (AAC),12,3-9,20,19,0,0,13,0,178,14.8
