"Ranking","Team","Rating"
1," M_Hardin-Baylor",1.34245938666458
2," St_Thomas_MN",1.27762075750103
3," WI_Oshkosh",1.2611019072588
4," N_Central_IL",1.25299793085919
5," WI_Whitewater",1.24491957086702
6," Coe",1.21890562306047
7," Alfred",1.21427016876924
8," St_John's_MN",1.20273575988103
9," Mt_Union",1.1931067328979
10," Wesley_DE",1.158777412081
11," Monmouth_IL",1.13860252191581
12," Wheaton_IL",1.1367884938131
13," Johns_Hopkins",1.13297910111877
14," John_Carroll",1.12655991476622
15," WI_Platteville",1.10175112312598
16," Trinity_CT",1.09756003992207
17," W_New_England",1.09176116994188
18," Linfield",1.08950250155691
19," Frostburg_St",1.08798769853474
20," Wittenberg",1.06698572467118
21," Thomas_More",1.05460465391405
22," St_Lawrence",1.04909180236389
23," Salisbury_St",1.03245200767478
24," Hardin-Simmons",1.02645531644356
25," Delaware_Val",1.01043003514751
26," Hobart_&_Smith",1.00734631740006
27," Case_Western",1.00397024517587
28," Stevenson",0.951959584149346
29," Central_IA",0.943763769049283
30," St_John_Fisher",0.933797424782956
31," Muhlenberg",0.929104758867011
32," Concordia_Mhd",0.928791131632244
33," Maryville_TN",0.918395108003143
34," Berry",0.917076619234109
35," Dubuque",0.916054930594552
36," Wash_&_Jeff",0.908034272872779
37," Tufts",0.907931869588427
38," Randolph_Macon",0.906988833720961
39," Olivet_MI",0.903241451747006
40," Westminster_PA",0.900754617858883
41," IL_Wesleyan",0.899846872795419
42," Huntingdon",0.899360387954971
43," Franklin_IN",0.883265854790981
44," Salve_Regina",0.883046517915948
45," Chris_Newport",0.877773193762954
46," DePauw",0.871491946775293
47," Carthage",0.871369691591675
48," Centre",0.862439137965669
49," Albright",0.851977937795409
50," Wabash",0.850150537911272
51," Washington_MO",0.838049222238222
52," St_Norbert",0.837436728978991
53," Denison",0.83294988670474
54," Brockport_St",0.81783173142281
55," WI_Stevens_Pt",0.815475475479119
56," Wesleyan_CT",0.815363902417707
57," Carnegie_Mellon",0.814225823913353
58," Redlands",0.798626125568078
59," Husson",0.785008921550791
60," Sul_Ross",0.78405546941636
61," Whitworth",0.781729056504393
62," Bridgewater_MA",0.772873098046465
63," Kean",0.77110119562898
64," Rowan",0.761694759044421
65," Utica",0.752501167535311
66," Middlebury",0.751198360133653
67," Hendrix",0.751100901833587
68," Framingham_St",0.748491305116748
69," Lake_Forest",0.743318489569348
70," Hope",0.739734636582626
71," Wartburg",0.739135732052968
72," Rose-Hulman",0.729212753608473
73," Northwestern_MN",0.72527571045344
74," E_Texas_Bap",0.721831097523814
75," WI_LaCrosse",0.708875956444843
76," St_Scholastica",0.704847558218289
77," NC_Wesleyan",0.703618355908291
78," Bethel_MN",0.703021694652404
79," SW_Univ_TX",0.696834118132309
80," Rensselaer",0.696114864471202
81," Worcester_Tech",0.68784580544183
82," Springfield",0.67851011776284
83," Benedictine_IL",0.673565401121286
84," Alma",0.672668551281997
85," Wash_&_Lee",0.671796275783088
86," Heidelberg",0.670687976855711
87," WI_River_Falls",0.670077766535011
88," Ithaca",0.657904341198866
89," Frank_&_Marsh",0.640019855938999
90," Cortland_St",0.637318022702356
91," Ohio_Wesleyan",0.63316428087675
92," MacMurray",0.633095671266759
93," Elmhurst",0.632646846431796
94," Emory_&_Henry",0.627257315253485
95," Merchant_Marine",0.623908244007045
96," Shenandoah",0.621457975276349
97," Trine",0.621351334480788
98," Claremont_M.S.",0.619944118874957
99," Widener",0.619621911755751
100," Bluffton",0.616386593977088
101," Eureka",0.613184557882184
102," Ohio_Northern",0.610743785097291
103," George_Fox",0.604052065572986
104," Amherst",0.596309473519704
105," Ferrum",0.590558881277598
106," Buffalo_St",0.579718544295127
107," Lakeland",0.577909669921501
108," Endicott",0.570624802262589
109," Gust_Adolphus",0.558085383414514
110," Mt_St_Joseph",0.557580233158521
111," Rhodes",0.556271589075994
112," Susquehanna",0.553563360577624
113," Pac_Lutheran",0.549602436062217
114," St_Vincent",0.543186981014246
115," Macalester",0.538563892843978
116," Bridgewater_VA",0.535847265758628
117," Hamline",0.527019267458319
118," Otterbein",0.526728653564224
119," Plymouth_St",0.526335509395887
120," Pomona_Pitzer",0.508332347409748
121," Montclair_St",0.503978582349265
122," Illinois_Col",0.502270626225203
123," Averett",0.497738835569947
124," Apprentice",0.495785304472681
125," Union_NY",0.494404868580516
126," W_Connecticut",0.489932907556946
127," King's_PA",0.480484634489785
128," MA_Dartmouth",0.471537200730301
129," Moravian",0.465760577714999
130," Louisiana_Col",0.46216362833568
131," McMurry",0.461312609825184
132," Chapman",0.460377614882911
133," WI_Lutheran",0.451564519166563
134," Aurora",0.449200548132545
135," Chicago",0.445649905697425
136," Adrian",0.429712078765794
137," Millikin",0.428080119798661
138," WI_Stout",0.417613226864903
139," NE_Wesleyan",0.415475504463301
140," MN_Morris",0.412269763693037
141," Augustana_IL",0.411344777000458
142," Trinity_TX",0.408286106075327
143," Fitchburg_St",0.407630935075889
144," Buena_Vista",0.407444620059069
145," Cal_Lutheran",0.405572178856702
146," Guilford",0.402416316598582
147," Nichols",0.390644007500736
148," Pacific_OR",0.384182980839219
149," WI_Eau_Claire",0.381621838720748
150," Cornell_IA",0.378507911417063
151," Geneva",0.375530450057307
152," Defiance",0.37186959458509
153," Lebanon_Val",0.369914160840748
154," Wooster",0.361800622474436
155," Norwich",0.35439527690673
156," Baldwin-Wallace",0.35109364329158
157," Simpson_IA",0.34286638433327
158," NY_Maritime",0.33887346217793
159," Thiel",0.338730762171996
160," Muskingum",0.335153272058155
161," Capital",0.333573862860998
162," Hanover",0.333389703699243
163," Bates",0.333106539104491
164," Westminster_MO",0.324514661926249
165," Bethany_WV",0.316141629298843
166," Methodist",0.306511124026461
167," College_of_NJ",0.302126147342701
168," MA_Maritime",0.296191651786253
169," Lycoming",0.29565228002223
170," Hampden-Sydney",0.290761504486744
171," Marietta",0.290462499831189
172," Willamette",0.287561224865152
173," Luther_IA",0.285709360568354
174," Hiram",0.27490051389204
175," MIT",0.271075984564744
176," Hartwick",0.270284110288945
177," Millsaps",0.267468436588072
178," Wilkes",0.265996056438737
179," Gettysburg",0.262693740749498
180," Curry",0.261232223791535
181," Colby",0.256546026110386
182," Juniata",0.246776607994488
183," Hamilton",0.241359019584498
184," TX_Lutheran",0.236367779386625
185," Waynesburg",0.229917976400168
186," Worcester_St",0.229688197557694
187," Wm_Paterson",0.2218551999211
188," Coast_Guard",0.209717964136183
189," Concordia_WI",0.205248892911145
190," Concordia_IL",0.198850474254308
191," Augsburg",0.196590454091028
192," Belhaven_MS",0.189862390490714
193," S_Virginia",0.187923428325232
194," Catholic",0.187699734047401
195," Kenyon",0.186117183609609
196," Kalamazoo",0.185254350831629
197," Castleton",0.182504797604644
198," Mt_Ida",0.179635085105552
199," Beloit",0.177487747777685
200," McDaniel_Col",0.177137680949061
201," LaGrange",0.176704115537164
202," Morrisville_St",0.174528406319082
203," Puget_Sound",0.147249565638649
204," Westfield_St",0.145585578704846
205," Lawrence",0.140909132132552
206," Iowa_Wesleyan",0.13955997056261
207," Loras",0.13741712671691
208," Albion",0.130805929936522
209," St_Olaf",0.121897854455191
210," Ripon",0.121815625154118
211," North_Park",0.121015340372507
212," Carroll_WI",0.115944527523961
213," Austin_Col",0.108473374109685
214," Ursinus",0.108308473717371
215," Manchester",0.101912848566181
216," Becker",0.0998458226804107
217," La_Verne",0.084312217322566
218," Greenville",0.0737239981883251
219," Carleton_MN",0.0734487315312243
220," FDU_Madison",0.0693915787246466
221," Rochester_NY",0.0672073614775599
222," Knox",0.0669482645607921
223," Crown_MN",0.0609238585008866
224," Finlandia",0.0475079623708098
225," Birmingham_So",0.0467345953548036
226," ME_Maritime",0.0249491189136757
227," Williams",0.00519892415895343
228," Dickinson",0.00481659676152304
229," Bowdoin",-0.00457415453989081
230," Misericordia",-0.0108739236643772
231," Allegheny",-0.0451372509467423
232," Grove_City",-0.0609384355770331
233," Occidental",-0.0611459241561867
234," Howard_Payne",-0.0653460809420272
235," Sewanee",-0.0696467412741091
236," Oberlin",-0.128936403474294
237," Greensboro",-0.129981492946368
238," Gallaudet",-0.130148757413029
239," Anderson_IN",-0.140179779247025
240," Lewis_&_Clark",-0.144740482387981
241," Rockford",-0.153707414053047
242," Alfred_St",-0.158064750515191
243," Wilmington_OH",-0.162482288162664
