"Ranking","Team","Rating"
1," M_Hardin-Baylor",1.47753481862533
2," WI_Oshkosh",1.36156926791299
3," St_Thomas_MN",1.30327009337866
4," Mt_Union",1.28269189294983
5," WI_Whitewater",1.25079199656221
6," John_Carroll",1.21918636361793
7," Alfred",1.18951132968134
8," N_Central_IL",1.17873700488989
9," St_John's_MN",1.1630761456261
10," Wheaton_IL",1.14823022191679
11," Coe",1.1425664631724
12," Monmouth_IL",1.12914623557305
13," Wesley_DE",1.11719169787259
14," WI_Platteville",1.11323697038935
15," Trinity_CT",1.09756003992207
16," Johns_Hopkins",1.09469185071327
17," Frostburg_St",1.07790564473514
18," Linfield",1.07752428655113
19," Hardin-Simmons",1.05777514059795
20," W_New_England",1.05154781305811
21," Thomas_More",1.04964838708435
22," St_Lawrence",1.04601128145931
23," Salisbury_St",1.02237926006443
24," Wittenberg",1.01734927103729
25," Hobart_&_Smith",1.01089290817355
26," Case_Western",1.00420203454769
27," Delaware_Val",1.00315420292039
28," Stevenson",0.946067251130225
29," St_John_Fisher",0.929556449979937
30," Concordia_Mhd",0.927149595838782
31," Central_IA",0.925589187554054
32," Maryville_TN",0.920674150570296
33," Berry",0.920398194080175
34," Muhlenberg",0.918906360746524
35," Olivet_MI",0.910149872712688
36," Tufts",0.907931869588427
37," Huntingdon",0.907068738403265
38," Wash_&_Jeff",0.905880689051102
39," Randolph_Macon",0.902200755361109
40," Westminster_PA",0.898912432422944
41," Dubuque",0.898498503496637
42," IL_Wesleyan",0.885723389495316
43," Franklin_IN",0.881697390351531
44," Salve_Regina",0.874208613526504
45," Chris_Newport",0.867205409558858
46," Centre",0.865164992814342
47," DePauw",0.862076645491165
48," Carthage",0.859328262524475
49," Washington_MO",0.84789643448164
50," Albright",0.846964639068581
51," Wabash",0.841090928183925
52," St_Norbert",0.836335996488615
53," WI_Stevens_Pt",0.830126630197491
54," Denison",0.826448619999711
55," Sul_Ross",0.821457971657234
56," Wesleyan_CT",0.815363902417707
57," Brockport_St",0.814098996673445
58," Carnegie_Mellon",0.81344027913065
59," Redlands",0.812457866723286
60," Whitworth",0.779134346913975
61," Husson",0.777080944785631
62," Bridgewater_MA",0.766804279860858
63," Kean",0.760857428685123
64," E_Texas_Bap",0.756759091608218
65," Hendrix",0.755452934676193
66," Middlebury",0.751198360133653
67," Utica",0.7510013656194
68," Rowan",0.750933255244951
69," Framingham_St",0.744230519799876
70," Hope",0.740529933811787
71," Lake_Forest",0.740046959929983
72," Northwestern_MN",0.725867002973606
73," Wartburg",0.7223802826136
74," Rose-Hulman",0.721697167840476
75," WI_LaCrosse",0.721087367081575
76," SW_Univ_TX",0.714971215081004
77," NC_Wesleyan",0.71278894669987
78," Heidelberg",0.706105033344503
79," St_Scholastica",0.70066241266538
80," Bethel_MN",0.697963026799509
81," Rensselaer",0.691465258912351
82," Worcester_Tech",0.684741373394499
83," WI_River_Falls",0.67984705071805
84," Benedictine_IL",0.675663264616144
85," Alma",0.673727616953295
86," Springfield",0.672962751484725
87," Wash_&_Lee",0.667561478081567
88," Ithaca",0.653854094675336
89," Ohio_Northern",0.646208879592013
90," Cortland_St",0.635193726709344
91," Ohio_Wesleyan",0.634354942289161
92," MacMurray",0.632027076328058
93," Frank_&_Marsh",0.629983960224611
94," Emory_&_Henry",0.625856881259639
95," Trine",0.622576185444532
96," Claremont_M.S.",0.622200918188619
97," Merchant_Marine",0.620847698076038
98," Shenandoah",0.620480411020007
99," Elmhurst",0.620257986018811
100," Bluffton",0.618161713674158
101," Widener",0.614941985398033
102," Eureka",0.61179821002624
103," George_Fox",0.604358053362633
104," Amherst",0.596309473519704
105," Ferrum",0.592393374552823
106," Lakeland",0.579246259917038
107," Buffalo_St",0.578320206292682
108," Endicott",0.562437152149447
109," Otterbein",0.562201552975366
110," Rhodes",0.5593079595858
111," Gust_Adolphus",0.555955089839835
112," Mt_St_Joseph",0.554778150064251
113," Pac_Lutheran",0.548990262484667
114," Susquehanna",0.543138811524913
115," St_Vincent",0.542035010075507
116," Macalester",0.535661563413927
117," Bridgewater_VA",0.533028314889624
118," Hamline",0.523908432354056
119," Plymouth_St",0.522631398789729
120," Pomona_Pitzer",0.511195077407687
121," Averett",0.499290439235127
122," Illinois_Col",0.497449533513405
123," McMurry",0.496963711584951
124," Louisiana_Col",0.496222560211717
125," Apprentice",0.495297344680965
126," Montclair_St",0.493217078549795
127," Union_NY",0.488857721131384
128," W_Connecticut",0.486045851962656
129," King's_PA",0.475830627727972
130," MA_Dartmouth",0.46779229708659
131," Chapman",0.463082031571371
132," Moravian",0.455336028662288
133," WI_Lutheran",0.454286821401371
134," Chicago",0.44852633729386
135," Aurora",0.447648115992249
136," WI_Stout",0.434022398206607
137," Adrian",0.432122864557548
138," Trinity_TX",0.420023748074566
139," Millikin",0.415809244171505
140," MN_Morris",0.411218122839034
141," Cal_Lutheran",0.408134188869661
142," Fitchburg_St",0.403875222712435
143," Guilford",0.401148831777661
144," Augustana_IL",0.398198304502773
145," WI_Eau_Claire",0.398088235121714
146," NE_Wesleyan",0.39592118274247
147," Baldwin-Wallace",0.386808097965987
148," Buena_Vista",0.385762287425336
149," Pacific_OR",0.381536473769087
150," Nichols",0.381511009165864
151," Geneva",0.373842294701344
152," Defiance",0.373611475005079
153," Muskingum",0.370858535325059
154," Cornell_IA",0.369271422287307
155," Capital",0.3653361379928
