Ranking,Rating,Team
1,27.370137444258987, M_Hardin-Baylor
2,19.10705408692642, St_John's_MN
3,15.151760909864025, Mt_Union
4,12.019093570274894, WI_Whitewater
5,7.941788261112591, Johns_Hopkins
6,6.835074342853903, Bethel_MN
7,6.075616622219761, N_Central_IL
8,5.918065189750853, Wheaton_IL
9,5.1296663249687935, St_Thomas_MN
10,4.986773327934677, Hardin-Simmons
11,4.459095591201713, Whitworth
12,3.7485784043722377, Centre
13,3.1364211076541215, Muhlenberg
14,3.0439816111202664, John_Carroll
15,2.8902990555556625, Brockport_St
16,2.8263149807878962, IL_Wesleyan
17,2.7802030564492783, Trinity_CT
18,2.754463114178824, Washington_StL
19,2.5796505738960627, WI_LaCrosse
20,2.4296756491898344, Linfield
21,2.2510758936488813, WI_Oshkosh
22,2.0746344836925457, Wartburg
23,1.8642057863885102, Gust_Adolphus
24,1.8450592120512537, Berry
25,1.8267465397286806, Amherst
26,1.8160577260187, WI_Stout
27,1.766594247443613, Susquehanna
28,1.6414839758399953, Trinity_TX
29,1.6003138715119647, Concordia_Mhd
30,1.568811179404266, Tufts
31,1.504194098966196, Monmouth_IL
32,1.4763396079518503, Redlands
33,1.4632186695313694, Carthage
34,1.4622734282253804, Simpson_IA
35,1.4522029141624238, Randolph_Macon
36,1.4129952783537751, George_Fox
37,1.4084593348345928, WI_Platteville
38,1.3825568959991028, Rensselaer
39,1.3535837000075277, Cortland_St
40,1.343954764574506, Chapman
41,1.318556408860205, Frostburg_St
42,1.287668830812466, Ithaca
43,1.1433169269915586, St_Norbert
44,1.1338755434683796, Frank_&_Marsh
45,1.1176168912077349, Augustana_IL
46,1.100070071496619, Chicago
47,1.0657364963380724, WI_River_Falls
48,1.0164005724911402, Wesleyan_CT
49,1.0139671468033076, Wesley_DE
50,1.0088975895039378, Baldwin-Wallace
51,1.0055191040851281, Williams
52,1.0007975679256742, Central_IA
53,0.9967372675537123, Delaware_Val
54,0.9881279879140459, Dubuque
55,0.9873832417176045, Ursinus
56,0.9756469872042846, Puget_Sound
57,0.9417731460877404, Union_NY
58,0.9232471774871644, E_Texas_Bap
59,0.8934862014809432, Utica
60,0.8880439716007745, Salisbury
61,0.8648678130669079, WI_Eau_Claire
