Rank,Team,G,W.L,TDs,PAT,X2PT,Def.Pts,FG,Saf,Pts,PPG
94,Truman (GLVC),11,8-3,38,35,0,0,9,2,294,26.7
94,UIndy (GLVC),11,6-5,36,33,0,0,15,0,294,26.7
92,Upper Iowa (Northern Sun),11,3-8,41,38,0,0,3,1,295,26.8
92,Mercyhurst (PSAC),11,3-8,38,33,1,0,10,1,295,26.8
91,Tarleton St. (Lone Star),11,5-6,39,30,0,0,11,0,297,27
90,Adams St. (RMAC),10,2-8,38,25,2,0,5,0,272,27.2
89,Washburn (MIAA),12,7-5,39,35,1,0,19,0,328,27.3
88,Tuskegee (SIAC),12,9-3,46,39,1,0,4,1,331,27.6
87,Kutztown (PSAC),11,7-4,44,27,5,0,1,0,304,27.6
84,Central Okla. (MIAA),11,3-8,39,36,2,0,11,0,307,27.9
83,Ohio Dominican (GLIAC),11,7-4,43,41,1,0,3,0,310,28.2
81,McKendree (GLVC),11,8-3,39,36,0,0,15,0,315,28.6
80,Virginia Union (CIAA),10,5-5,40,31,1,0,4,1,287,28.7
78,Mars Hill (South Atlantic),11,5-6,44,38,4,0,3,0,319,29
78,Fort Lewis (RMAC),11,4-7,44,34,3,0,5,0,319,29
76,Fort Hays St. (MIAA),12,8-4,44,40,0,0,16,0,352,29.3
75,Lock Haven (PSAC),11,4-7,45,26,2,0,7,1,323,29.4
74,Missouri S&T (GLVC),11,5-6,43,34,1,0,12,0,330,30
73,Southwestern Okla. (GAC),11,5-6,47,40,0,0,4,0,334,30.4
72,West Ga. (Gulf South),11,7-4,43,39,0,0,12,1,335,30.5
71,Mo. Western St. (MIAA),11,4-7,45,38,1,0,8,1,336,30.5
70,Hillsdale (GLIAC),10,5-5,40,37,0,0,10,0,307,30.7
69,Quincy (GLVC),11,5-6,47,36,0,0,6,1,338,30.7
68,North Greenville (DII Independent),14,9-5,55,54,1,0,15,0,431,30.8
67,Ark.-Monticello (GAC),11,4-7,46,37,3,0,6,1,339,30.8
66,Northern Mich. (GLIAC),11,3-8,43,38,1,0,14,0,340,30.9
65,West Florida (Gulf South),11,5-6,46,41,0,0,8,0,341,31
63,East Stroudsburg (PSAC),11,4-7,46,43,0,0,8,1,345,31.4
63,Tiffin (GLIAC),11,8-3,47,43,1,0,6,0,345,31.4
61,Colorado St.-Pueblo (RMAC),11,8-3,46,38,2,0,9,1,347,31.5
61,Arkansas Tech (GAC),11,6-5,44,41,1,0,12,2,347,31.5
60,Eastern N.M. (Lone Star),12,7-5,51,38,2,0,11,0,381,31.8
57,Findlay (GLIAC),11,6-5,45,41,0,0,13,0,350,31.8
57,Shippensburg (PSAC),11,7-4,45,40,1,0,12,1,350,31.8
57,New Haven (Northeast-10),11,7-4,46,44,0,0,10,0,350,31.8
56,Winston-Salem (CIAA),12,9-3,49,45,0,0,13,2,382,31.8
55,Notre Dame (OH) (MEC),11,9-2,48,40,0,0,7,1,351,31.9
54,Carson-Newman (South Atlantic),11,4-7,47,40,1,0,11,0,357,32.5
53,Seton Hill (PSAC),11,5-6,48,41,0,0,9,1,358,32.5
52,Northwestern Okla. (GAC),11,4-7,51,46,0,0,3,0,361,32.8
51,Wayne St. (MI) (GLIAC),11,7-4,52,39,0,0,4,0,363,33
50,UNC Pembroke (DII Independent),12,10-2,45,43,0,0,28,0,397,33.1
49,Minnesota St. (Northern Sun),11,8-3,50,48,0,0,6,0,366,33.3
48,Chowan (CIAA),10,6-4,48,43,0,0,1,0,334,33.4
47,Central Wash. (Great Northwest),10,7-3,49,40,2,0,1,0,341,34.1
46,Emporia St. (MIAA),13,11-2,58,55,0,0,14,0,445,34.2
45,Valdosta St. (Gulf South),11,8-3,49,45,0,0,14,0,381,34.6
43,Southern Ark. (GAC),12,9-3,55,50,1,0,12,1,420,35
43,Humboldt St. (Great Northwest),11,6-5,51,49,0,0,10,0,385,35
42,Southeastern Okla. (GAC),11,7-4,49,43,2,0,15,0,386,35.1
41,Henderson St. (GAC),11,8-3,50,48,0,0,11,3,387,35.2
39,Midwestern St. (Lone Star),11,8-3,54,44,1,0,6,0,388,35.3
39,West Ala. (Gulf South),11,7-4,51,46,0,0,12,0,388,35.3
37,Wingate (South Atlantic),11,8-3,51,46,0,0,12,1,390,35.5
35,MSU Moorhead (Northern Sun),11,7-4,55,47,1,0,4,0,391,35.5
34,Southwest Minn. St. (Northern Sun),11,5-6,57,47,0,0,1,0,392,35.6
32,Ouachita Baptist (GAC),11,7-4,48,46,1,0,19,1,395,35.9
31,North Ala. (Gulf South),13,11-2,61,58,0,0,15,0,469,36.1
30,Azusa Pacific (Great Northwest),12,9-3,58,51,0,0,10,3,435,36.3
29,Newberry (South Atlantic),12,10-2,61,47,4,0,5,0,436,36.3
28,Delta St. (Gulf South),10,4-6,51,40,0,0,7,1,369,36.9
27,LIU Post (Northeast-10),13,12-1,65,53,2,0,9,3,480,36.9
26,Winona St. (Northern Sun),11,8-3,51,39,1,0,19,2,408,37.1
25,Assumption (Northeast-10),12,9-3,56,51,1,0,19,0,446,37.2
24,Central Mo. (MIAA),12,9-3,61,56,0,0,8,1,448,37.3
23,Florida Tech (Gulf South),11,8-3,54,50,2,0,11,0,411,37.4
22,Ferris St. (GLIAC),15,12-3,74,69,0,0,16,1,563,37.5
21,South Dakota Mines (RMAC),11,5-6,57,51,2,0,6,0,415,37.7
20,Harding (GAC),14,13-1,74,71,0,0,6,0,533,38.1
19,Tex. A&M-Kingsville (Lone Star),12,9-3,61,53,1,0,11,3,460,38.3
18,Shepherd (MEC),14,13-1,74,65,0,0,10,1,541,38.6
17,Sioux Falls (Northern Sun),13,12-1,67,63,0,0,14,0,507,39
16,Virginia St. (CIAA),11,9-2,61,47,3,0,4,0,431,39.2
15,Tex. A&M-Commerce (Lone Star),12,10-2,61,55,1,0,18,0,477,39.8
14,Grand Valley St. (GLIAC),13,12-1,71,66,1,0,10,0,524,40.3
13,Pittsburg St. (MIAA),11,7-4,58,52,2,0,12,2,444,40.4
12,Bowie St. (CIAA),11,7-4,64,53,1,0,4,0,451,41
11,Colorado Mesa (RMAC),12,9-3,61,58,1,0,23,0,495,41.3
10,Edinboro (PSAC),11,9-2,62,58,0,0,9,0,457,41.5
9,Southwest Baptist (GLVC),12,10-2,70,59,3,0,6,1,505,42.1
8,Augustana (SD) (Northern Sun),11,8-3,65,54,2,0,6,0,466,42.4
6,Minn. Duluth (Northern Sun),12,10-2,76,56,4,0,7,0,541,45.1
4,Bemidji St. (Northern Sun),12,9-3,76,54,5,0,9,0,547,45.6
2,Colorado Mines (RMAC),13,10-3,88,78,0,0,3,1,617,47.5
1,California (PA) (PSAC),12,11-1,80,78,0,0,11,2,595,49.6
